CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100),Cluster_group
1,Male,19,15,39,46
2,Male,21,15,81,130
3,Female,20,16,6,44
4,Female,23,16,77,45
5,Female,31,17,40,46
6,Female,22,17,76,45
7,Female,35,18,6,44
8,Female,23,18,94,129
9,Male,64,19,3,128
10,Female,30,19,72,127
11,Male,67,19,14,20
12,Female,35,19,99,126
13,Female,58,20,15,20
14,Female,24,20,77,43
15,Male,37,20,13,20
16,Male,22,20,79,43
17,Female,35,21,35,125
18,Male,20,21,66,124
19,Male,52,23,29,123
20,Female,35,23,98,122
21,Male,35,24,35,121
22,Male,25,24,73,42
23,Female,46,25,5,120
24,Male,31,25,73,42
25,Female,54,28,14,119
26,Male,29,28,82,117
27,Female,45,28,32,41
28,Male,35,28,61,118
29,Female,40,29,31,41
30,Female,23,29,87,116
31,Male,60,30,4,40
32,Female,21,30,73,115
33,Male,53,33,4,40
34,Male,18,33,92,112
35,Female,49,33,14,114
36,Female,21,33,81,113
37,Female,42,34,17,111
38,Female,30,34,73,110
39,Female,36,37,26,109
40,Female,20,37,75,108
41,Female,65,38,35,39
42,Male,24,38,92,107
43,Male,48,39,36,39
44,Female,31,39,61,37
45,Female,49,39,28,106
46,Female,24,39,65,105
47,Female,50,40,55,103
48,Female,27,40,47,104
49,Female,29,40,42,38
50,Female,31,40,42,38
51,Female,49,42,52,102
52,Male,33,42,60,36
53,Female,31,43,54,100
54,Male,59,43,60,36
55,Female,50,43,45,19
56,Male,47,43,41,101
57,Female,51,44,50,99
58,Male,69,44,46,19
59,Female,27,46,51,6
60,Male,53,46,46,19
61,Male,70,46,56,35
62,Male,19,46,55,35
63,Female,67,47,52,6
64,Female,54,47,59,18
65,Male,63,48,51,6
66,Male,18,48,59,18
67,Female,43,48,50,6
68,Female,68,48,48,5
69,Male,19,48,59,18
70,Female,32,48,47,5
71,Male,70,49,55,34
72,Female,47,49,42,98
73,Female,60,50,49,5
74,Female,60,50,56,34
75,Male,59,54,47,16
76,Male,26,54,54,4
77,Female,45,54,53,4
78,Male,40,54,48,16
79,Female,23,54,52,4
80,Female,49,54,42,33
81,Male,57,54,51,4
82,Male,38,54,55,4
83,Male,67,54,41,33
84,Female,46,54,44,17
85,Female,21,54,57,97
86,Male,48,54,46,16
87,Female,55,57,58,97
88,Female,22,57,55,32
89,Female,34,58,60,95
90,Female,50,58,46,96
91,Female,68,59,55,32
92,Male,18,59,41,3
93,Male,48,60,49,2
94,Female,40,60,40,3
95,Female,32,60,42,3
96,Male,24,60,52,14
97,Female,47,60,47,2
98,Female,27,60,50,2
99,Male,48,61,42,0
100,Male,20,61,49,2
101,Female,23,62,41,0
102,Female,49,62,48,2
103,Male,67,62,59,94
104,Male,26,62,55,15
105,Male,49,62,56,15
106,Female,21,62,42,0
107,Female,66,63,50,31
108,Male,54,63,46,1
109,Male,68,63,43,13
110,Male,66,63,48,1
111,Male,65,63,52,14
112,Female,19,63,54,15
113,Female,38,64,42,13
114,Male,19,64,46,1
115,Female,18,65,48,1
116,Female,19,65,50,31
117,Female,63,65,43,30
118,Female,49,65,59,93
119,Female,51,67,43,30
120,Female,50,67,57,12
121,Male,27,67,56,12
122,Female,38,67,40,92
123,Female,40,69,58,12
124,Male,39,69,91,91
125,Female,23,70,29,90
126,Female,31,70,77,11
127,Male,43,71,35,28
128,Male,40,71,95,89
129,Male,59,71,11,29
130,Male,38,71,75,11
131,Male,47,71,9,29
132,Male,39,71,75,11
133,Female,25,72,34,28
134,Female,31,72,71,10
135,Male,20,73,5,9
136,Female,29,73,88,88
137,Female,44,73,7,27
138,Male,32,73,73,10
139,Male,19,74,10,87
140,Female,35,74,72,10
141,Female,57,75,5,9
142,Male,32,75,93,86
143,Female,28,76,40,85
144,Female,32,76,87,8
145,Male,25,77,12,84
146,Male,28,77,97,82
147,Male,48,77,36,83
148,Female,32,77,74,26
149,Female,34,78,22,23
150,Male,34,78,90,8
151,Male,43,78,17,24
152,Male,39,78,88,8
153,Female,44,78,20,23
154,Female,38,78,76,22
155,Female,47,78,16,24
156,Female,27,78,89,8
157,Male,37,78,1,25
158,Female,30,78,78,22
159,Male,34,78,1,25
160,Female,30,78,73,26
161,Female,56,79,35,81
162,Female,29,79,83,80
163,Male,19,81,5,79
164,Female,31,81,93,78
165,Male,50,85,26,77
166,Female,36,85,75,21
167,Male,42,86,20,76
168,Female,33,86,95,75
169,Female,36,87,27,73
170,Male,32,87,63,72
171,Male,40,87,13,7
172,Male,28,87,75,21
173,Male,36,87,10,74
174,Male,36,87,92,71
175,Female,52,88,13,7
176,Female,30,88,86,69
177,Male,58,88,15,7
178,Male,27,88,69,70
179,Male,59,93,14,68
180,Male,35,93,90,67
181,Female,37,97,32,66
182,Female,32,97,86,65
183,Male,46,98,15,64
184,Female,29,98,88,63
185,Female,41,99,39,62
186,Male,30,99,97,61
187,Female,54,101,24,60
188,Male,28,101,68,59
189,Female,41,103,17,58
190,Female,36,103,85,55
191,Female,34,103,23,57
192,Female,32,103,69,56
193,Male,33,113,8,54
194,Female,38,113,91,53
195,Female,47,120,16,52
196,Female,35,120,79,51
197,Female,45,126,28,50
198,Male,32,126,74,49
199,Male,32,137,18,48
200,Male,30,137,83,47
